,SeniorCitizen,tenure,MonthlyCharges,TotalCharges
SeniorCitizen,1.0,0.016566877681809315,0.22017333857627205,0.10241060539533069
tenure,0.016566877681809315,1.0,0.24789985628615094,0.8258804609332019
MonthlyCharges,0.22017333857627205,0.24789985628615094,1.0,0.6510648032262017
TotalCharges,0.10241060539533069,0.8258804609332019,0.6510648032262017,1.0
